[17:36:24] [info] VIOLET: Creating window Violet Engine (1200, 800)
[17:36:26] [info] VIOLET: OpenGL Info: 
[17:36:26] [info] VIOLET:  Vendor: NVIDIA Corporation 
[17:36:26] [info] VIOLET:  Renderer : NVIDIA GeForce GTX 1650/PCIe/SSE2 
[17:36:26] [info] VIOLET:  Version: 4.6.0 NVIDIA 512.59 
[17:36:26] [trace] APP: FPS: 0.468077 (2.1364 / ms) 
[17:36:26] [trace] APP: FPS: 22.2305 (0.0449831 / ms) 
[17:36:27] [trace] APP: FPS: 8.68609 (0.115127 / ms) 
[17:36:27] [trace] APP: FPS: 56.8403 (0.0175931 / ms) 
[17:36:27] [trace] APP: FPS: 62.7899 (0.0159261 / ms) 
[17:36:27] [trace] APP: FPS: 61.5136 (0.0162566 / ms) 
[17:36:27] [trace] APP: FPS: 60.6727 (0.0164819 / ms) 
[17:36:27] [trace] APP: FPS: 57.398 (0.0174222 / ms) 
[17:36:27] [trace] APP: FPS: 56.8873 (0.0175786 / ms) 
[17:36:27] [trace] APP: FPS: 65.5657 (0.0152519 / ms) 
[17:36:27] [trace] APP: FPS: 56.2186 (0.0177877 / ms) 
[17:36:27] [trace] APP: FPS: 61.0418 (0.0163822 / ms) 
[17:36:27] [trace] APP: FPS: 62.5969 (0.0159752 / ms) 
[17:36:27] [trace] APP: FPS: 59.1847 (0.0168962 / ms) 
[17:36:27] [trace] APP: FPS: 56.391 (0.0177333 / ms) 
[17:36:27] [trace] APP: FPS: 57.7919 (0.0173035 / ms) 
[17:36:27] [trace] APP: FPS: 68.3534 (0.0146298 / ms) 
[17:36:27] [trace] APP: FPS: 58.1533 (0.0171959 / ms) 
[17:36:27] [trace] APP: FPS: 53.2157 (0.0187914 / ms) 
[17:36:27] [trace] APP: FPS: 72.6136 (0.0137715 / ms) 
[17:36:27] [trace] APP: FPS: 60.7237 (0.016468 / ms) 
[17:36:27] [trace] APP: FPS: 55.6525 (0.0179687 / ms) 
[17:36:27] [trace] APP: FPS: 61.4892 (0.016263 / ms) 
[17:36:27] [trace] APP: FPS: 59.8204 (0.0167167 / ms) 
[17:36:27] [trace] APP: FPS: 61.82 (0.016176 / ms) 
[17:36:27] [trace] APP: FPS: 59.6553 (0.016763 / ms) 
[17:36:27] [trace] APP: FPS: 59.9375 (0.0166841 / ms) 
[17:36:27] [trace] APP: FPS: 58.822 (0.0170004 / ms) 
[17:36:27] [trace] APP: FPS: 61.3642 (0.0162961 / ms) 
[17:36:27] [trace] APP: FPS: 60.1748 (0.0166183 / ms) 
[17:36:27] [trace] APP: FPS: 60.0104 (0.0166638 / ms) 
[17:36:27] [trace] APP: FPS: 56.1629 (0.0178053 / ms) 
[17:36:27] [trace] APP: FPS: 65.8633 (0.015183 / ms) 
[17:36:27] [trace] APP: FPS: 55.1208 (0.018142 / ms) 
[17:36:27] [trace] APP: FPS: 55.2675 (0.0180938 / ms) 
[17:36:27] [trace] APP: FPS: 72.8317 (0.0137303 / ms) 
[17:36:27] [trace] APP: FPS: 55.3733 (0.0180593 / ms) 
[17:36:27] [trace] APP: FPS: 55.9733 (0.0178657 / ms) 
[17:36:27] [trace] APP: FPS: 65.5852 (0.0152473 / ms) 
[17:36:27] [trace] APP: FPS: 56.6453 (0.0176537 / ms) 
[17:36:27] [trace] APP: FPS: 62.2245 (0.0160708 / ms) 
[17:36:27] [trace] APP: FPS: 60.4951 (0.0165303 / ms) 
[17:36:27] [trace] APP: FPS: 71.8646 (0.0139151 / ms) 
[17:36:27] [trace] APP: FPS: 57.2226 (0.0174756 / ms) 
[17:36:27] [trace] APP: FPS: 63.7839 (0.0156779 / ms) 
[17:36:27] [trace] APP: FPS: 54.0656 (0.018496 / ms) 
[17:36:27] [trace] APP: FPS: 63.1786 (0.0158281 / ms) 
[17:36:27] [trace] APP: FPS: 61.1067 (0.0163648 / ms) 
[17:36:27] [trace] APP: FPS: 58.7396 (0.0170243 / ms) 
[17:36:27] [trace] APP: FPS: 64.1154 (0.0155969 / ms) 
[17:36:27] [trace] APP: FPS: 56.0578 (0.0178387 / ms) 
[17:36:27] [trace] APP: FPS: 62.6006 (0.0159743 / ms) 
[17:36:27] [trace] APP: FPS: 59.3976 (0.0168357 / ms) 
[17:36:27] [trace] APP: FPS: 58.1178 (0.0172064 / ms) 
[17:36:27] [trace] APP: FPS: 62.3003 (0.0160513 / ms) 
[17:36:27] [trace] APP: FPS: 56.6714 (0.0176456 / ms) 
[17:36:27] [trace] APP: FPS: 65.033 (0.0153768 / ms) 
[17:36:27] [trace] APP: FPS: 59.5334 (0.0167973 / ms) 
[17:36:27] [trace] APP: FPS: 60.7712 (0.0164552 / ms) 
[17:36:27] [trace] APP: FPS: 58.8319 (0.0169976 / ms) 
[17:36:28] [trace] APP: FPS: 59.6893 (0.0167534 / ms) 
[17:36:28] [trace] APP: FPS: 61.4757 (0.0162666 / ms) 
[17:36:28] [trace] APP: FPS: 60.4959 (0.01653 / ms) 
[17:36:28] [trace] APP: FPS: 59.7164 (0.0167458 / ms) 
[17:36:28] [trace] APP: FPS: 58.2162 (0.0171773 / ms) 
[17:36:28] [trace] APP: FPS: 60.3332 (0.0165746 / ms) 
[17:36:28] [trace] APP: FPS: 58.9005 (0.0169778 / ms) 
[17:36:28] [trace] APP: FPS: 60.5684 (0.0165102 / ms) 
[17:36:28] [trace] APP: FPS: 60.6797 (0.01648 / ms) 
[17:36:28] [trace] APP: FPS: 60.7764 (0.0164537 / ms) 
[17:36:28] [trace] APP: FPS: 60.2396 (0.0166004 / ms) 
[17:36:28] [trace] APP: FPS: 61.032 (0.0163848 / ms) 
[17:36:28] [trace] APP: FPS: 60.0413 (0.0166552 / ms) 
[17:36:28] [trace] APP: FPS: 60.276 (0.0165904 / ms) 
[17:36:28] [trace] APP: FPS: 60.5772 (0.0165079 / ms) 
[17:36:28] [trace] APP: FPS: 59.4937 (0.0168085 / ms) 
[17:36:28] [trace] APP: FPS: 59.6612 (0.0167613 / ms) 
[17:36:28] [trace] APP: FPS: 60.3514 (0.0165696 / ms) 
[17:36:28] [trace] APP: FPS: 58.8138 (0.0170028 / ms) 
[17:36:28] [trace] APP: FPS: 57.6505 (0.0173459 / ms) 
[17:36:28] [trace] APP: FPS: 61.6964 (0.0162084 / ms) 
[17:36:28] [trace] APP: FPS: 57.4696 (0.0174005 / ms) 
[17:36:28] [trace] APP: FPS: 58.9526 (0.0169628 / ms) 
[17:36:28] [trace] APP: FPS: 64.9887 (0.0153873 / ms) 
[17:36:28] [trace] APP: FPS: 59.406 (0.0168333 / ms) 
[17:36:28] [trace] APP: FPS: 63.2148 (0.0158191 / ms) 
[17:36:28] [trace] APP: FPS: 58.7421 (0.0170236 / ms) 
[17:36:29] [trace] APP: FPS: 1.57874 (0.633415 / ms) 
[17:36:29] [trace] APP: FPS: 58.7454 (0.0170226 / ms) 
[17:36:29] [trace] APP: FPS: 55.539 (0.0180054 / ms) 
[17:36:29] [trace] APP: FPS: 62.6633 (0.0159583 / ms) 
[17:36:29] [trace] APP: FPS: 59.7411 (0.0167389 / ms) 
[17:36:29] [trace] APP: FPS: 57.966 (0.0172515 / ms) 
[17:36:29] [trace] APP: FPS: 62.9152 (0.0158944 / ms) 
[17:36:29] [trace] APP: FPS: 61.6882 (0.0162106 / ms) 
[17:36:29] [trace] APP: FPS: 53.7194 (0.0186152 / ms) 
[17:36:29] [trace] APP: FPS: 63.9649 (0.0156336 / ms) 
[17:36:29] [trace] APP: FPS: 62.291 (0.0160537 / ms) 
[17:36:29] [trace] APP: FPS: 59.6104 (0.0167756 / ms) 
[17:36:29] [trace] APP: FPS: 61.7681 (0.0161896 / ms) 
[17:36:29] [trace] APP: FPS: 60.7026 (0.0164738 / ms) 
[17:36:29] [trace] APP: FPS: 59.546 (0.0167937 / ms) 
[17:36:29] [trace] APP: FPS: 61.7463 (0.0161953 / ms) 
[17:36:29] [trace] APP: FPS: 60.5746 (0.0165086 / ms) 
[17:36:29] [trace] APP: FPS: 60.4855 (0.0165329 / ms) 
[17:36:29] [trace] APP: FPS: 55.8332 (0.0179105 / ms) 
[17:36:29] [trace] APP: FPS: 63.7103 (0.015696 / ms) 
[17:36:29] [trace] APP: FPS: 59.1447 (0.0169077 / ms) 
[17:36:29] [trace] APP: FPS: 59.153 (0.0169053 / ms) 
[17:36:29] [trace] APP: FPS: 61.322 (0.0163074 / ms) 
[17:36:29] [trace] APP: FPS: 59.7037 (0.0167494 / ms) 
[17:36:29] [trace] APP: FPS: 57.1307 (0.0175037 / ms) 
[17:36:29] [trace] APP: FPS: 63.1939 (0.0158243 / ms) 
[17:36:29] [trace] APP: FPS: 58.4425 (0.0171108 / ms) 
[17:36:29] [trace] APP: FPS: 61.9104 (0.0161524 / ms) 
[17:36:29] [trace] APP: FPS: 58.3693 (0.0171323 / ms) 
[17:36:29] [trace] APP: FPS: 63.404 (0.0157719 / ms) 
[17:36:29] [trace] APP: FPS: 57.8014 (0.0173006 / ms) 
[17:36:29] [trace] APP: FPS: 61.7536 (0.0161934 / ms) 
[17:36:29] [trace] APP: FPS: 57.3039 (0.0174508 / ms) 
[17:36:29] [trace] APP: FPS: 61.4496 (0.0162735 / ms) 
